sentiment,review_body,product_category
-1,This top is too short  so much so that tucking it in would be difficult. the designs are lovely  but the short length is putting this top back on the rack.,Blouses
-1,Absolutely beautiful top  worn once...hand washed and that's all she wrote..ruined!! the black trim bled all over the top!! i tried everything you could imagine to get this back to normal! do not recommend!! :(,Blouses
-1,I didn't really understand the other reviews until i received mine in the mail. i love cloth & stone and this is just not up to their normal quality. i bought the blue and yellow colors of this blouse. it's very soft  but the blue already had strings coming from under the arms and i hadn't even tried them on yet. material is super soft  but thin. cut is weird under the arms and tight. sleeves are also tight! i am usually an xs or s in cloth & stone so i ordered smalls. i just fit the arms  but t,Blouses
-1,"I thought this was adorable on the model  but not so much on me. i actually didn't mind it when i tried it on with a long cardigan  but i didn't want to keep it for 1 look. the material felt inexpensive. the shape was very unflattering for an average sized women like myself. i'm 5'8"" and about 160 lbs.",Blouses
-1,Maeve is one of my favorite retailer designers. usually fall in love with a blouse  only to look at the tag and discover it's by maeve (go figure).  this top is just atrocious though. does nothing for girls with a larger chest. very boxy and unflattering. gorgeous colors though  and the sleeve concept is cute. however  where the sleeve meets the shirt looks cheap and thrown on. not impressed.,Blouses
-1,Didn't work on this curvy gal.  sizing up would have helped with the button gaps  but the flowy shape of the blouse would have looked too maternity on a larger size.  major pass.,Blouses
-1,This blouse is a disappointment . fabric is cheap looking and the cut is very off. just odd. sleeves awkward . the back of the white shirt on the on-line model is not the same as the white shirt i received. mine was plain in the back like the blue shirt on line even though my shirt was white. no ruffle. returned.,Blouses
-1,And hits below my waist just far enough to make my thighs look enormous. i think how it fits depends alot on body type. the material is nice  color pretty  not cheap looking so i will keep it but must wear a topper to slim down thise ugly thighs of mine.....,Blouses
-1,Material was a tad rough for my liking. the color did nothing for my olive complexion. given the price of this shirt (even with 20% off) i don't think it's worth it. if i'm spending $100+ on a blouse i need to love it and i do not love this one...going back.,Blouses
0,This may be lovely on some people but it didn't work on me at all. i thought it would have some swing to it but the bottom hem was tight. if i had gone up a size  the top would have been huge. the bib wasn't flattering on me and it's also quite sheer. too bad because the print is great. maybe if you're athletic with slim hips you can manage it. i think if you are busty this could look like maternity wear on you. back it went  sadly.,Blouses
0,Love the top design  not so much the fabric. i should've read the top was 100% polyester. returning and finding a better quality top.,Blouses
0,This shirt has a vibrant color and beautiful neck line  but unfortunately i had to send it back. it is short waisted with a lot of material in the back. had it been 1-2 inches longer it may flare out  but based on the length on me  it ended up looking like a shrunken tent. for reference  i am 5'8 with a long torso.,Blouses
0,"I've been searching for a pretty and unique ""party top"" and thought this was it. it is beautiful and unique but much too cropped for me and i'm only 5'3"". sadly i had to return. maybe would be more appropriate on someone younger",Blouses
0,This top was really cute on someone else  but not on me... on me  ti was too big and the color washed me out. the fabric is nice and the pattern and colors are nice too  just not on porcelain skin... like many tops this season  it is a bit boxy  but looks nice with jeans  white shorts or half-tucked into a skirt. i would probably size down a bot...,Blouses
0,This item states you should wash in cold water and tumble dry low heat. it shrunk after first wash in cold water and i didn&#39;t even use the dryer. do not wash. real bummer..,Blouses
0,Love the shape of this top and often look to retailer for corset-style summer tops that are pretty. this top is made from a thick  stiff fabric that doesn't breathe. so my usual size xxs was too constricting. tried an xs also and it basically fit but i still wasn't a fan of the very heavy fabric in a summer top. it's almost like a neoprene. the colors are an odd choice and not my favorite either. i wanted to see in person and they just don't cut it for me. would love in different colors and softer,Blouses
0,"I really liked the look of this top online  but when it came i had a couple of issues with it. first  when i tried it on i found the underarms to be a little snug (i normally wear a 10/m  and that's what i ordered). it makes raising my arms tough  and as a teacher  i need to be able to lift my arms above my waist. secondly  my husband's first reaction was that it ""looks like pajamas."" the abstract floral/stripe gets a little lost.  on the other hand  the color palette is very pretty and the qual",Blouses
0,I tried this on in my usual size and it was tight through the chest because of the lining. i would have preferred to wear a cami beneath and then it may have worked. the color and pattern are gorgeous  the fabric feels a bit weird  kind of dry and rough? would have liked to see this in a longer length  and more tapered. it is an absolute pregnant top. so sad its so pretty!,Blouses
1,"This is a wow! so chic...reminds of something i would have bought in paris. worth every penny. even my husband loves it on me...his words were ""it's a standout"". i work in the design industry so i am always looking for something that represents what i do...nailed it!",Blouses
1,"I really like this blouse. it's hard to find a short sleeved button down that the sleeves don't stick out and look weird. this one does not have this problem. it is a bit sheer  but i don't mind wearing a cami with it. it is flowy... but not boxy/baggie. has a very nice  flattering drape. i'm 5'3""  110lbs.  32c  petite frame. the 00 regular fits great. i'm often a petite (especially in pants and long sleeved tops)... but went with the regular size here bc i wanted the longer length.",Blouses
1,This is my favorite top! it is gorgeous  soft  & oh so comfortable. it's not too tight & works with leggings  jeans  or as an over-shirt. love it!,Blouses
1,Love this top! i'm 5' 118 lbs  purchased in a medium and plan on wearing it as a dress! it is so cute!,Blouses
1,I was very impressed with the quality of the satin. this top can easily be dressed up or down. i purchased the white and love it! the almost full zip back makes for easy on and off. i ordered a medium and think it runs a little big.,Blouses
1,This top is gorgeous. the colors are lovely  design and quality are impeccable  and it is versatile. this top just happened to catchc my eye and i am so happy with my purchase. it fits tts. i love it!!,Blouses
1,This top is super cute  nice and light for the hot weather  with a tts fit. the model is wearing a light-colored bra  so it shows through. but  with a black bra  there is no problem.,Blouses
1,In maeve i run between a size 2-4.  my regular size 4 was too tight in the shoulders  the fabric didn't drop off the shoulders like it does on the model.  it also felt too tight near the back were the button is  almost as if there was not enough fabric.  the sleeves were also too short and tight around the arms.  sized up to a 6 and all those issues were fixed.  since this top is billowy anyway the size up really didn't mess with the shape of the top.  love the gold color  so pretty!,Blouses
1,"I love the colors. originally purchased a large for my broad shoulders and it was too big and too long for 5'4"". exchanged it for a petit medium and it fits great. will have to wait for cooler days to wear it since it is a heavy cotton and the weather is still very hot intexas.",Blouses
-1,When i wore this the two times i did  i got a ton of compliments. it runs small  and is a bit tight when sized correctly but its really stunning. after the second wear  the fabric under the arms frayed and its now unwearable. i have to return it and am so disappointed. sadly  i would not recommend buying it for that reason.,Dresses
-1,This dress is so cute! i went to the store to try it on and although i knew the dress would fit i could not get the zipper up. my mom  the sales lady and i all tried to get the zipper up and it would not move past the ribbon. i wish i could have bought this dress but i can't without a working zipper. i tried a size up and every dress at the store that was my size and none of them worked. please fix the zipper problem so i can have this dress!,Dresses
-1,The design/shape of the dress are quite flattering  flirty and feminine. but.... there is no way that the dress i received is new. the color is a faded washed out red and there are black stains all over the belt area. there is no tag... the fabric looks droopy and laundered and is not crisp  stiff or new. i am very disappointed by the quality of the item that i received. undoubtedly this one is going back.  dear retailer - please make sure that you do not send pre-owend clothing articles to,Dresses
-1,I've been eyeing this dress for months  so when it went on sale i finally purchased it. now i see why it's on sale. the dress runs extremely large and has no shape.... looks like a potatoe sack and i feel like moo...moo in it! this will be going back to the store!!!!,Dresses
-1,"I have wanted this dress since i first tried it on in april. finally got it as a birthday gift and after looking at it closely there was makeup on the collar. i checked the instructions and it says ""cold water wash"". so i washed only the collar part by hand and every part that got water on it bled!!! looks like the popsicles are melting! i'm so sad because this dress is adorable! i'm buying another in hopes retailer will make this right by taking back the first one. should be dry clean only!",Dresses
-1,I sized down as other reviewers suggested (usually an 8  went down to 6) and the dress fit fine--but it was not attractive. the cut was like a tent with an empire waist. really just not attractive. maybe it has to do with my body type  but compared to the model  this dress was so unflattering in-person. returned.,Dresses
-1,I love the color patterns and fabric.  it has full lining!  my biggest problem with the dress is the swing style - makes it more like a maternity dress and so unflattering?  a straight (shift) style would have been much better.  dress runs large  however the arm/shoulder area is tight.,Dresses
-1,"Tried this dress in a small. i am 5'6""  135lbs  34c. the small was huge - the sash helped some  but looked like a potato sack on me. also  i noticed the fabric was piling slighly in the store. i had high hopes for this dress but left this one in the store.",Dresses
-1,While i thought it looked really pretty on the hanger  when i tried it on it just felt like a mess. perhaps it suits other personalities and bodies. i hated that the zipper was in the front; i personally find it tacky and gawdy. while the patterns are pretty  the material felt like some weird fabric wallpaper and i didn't see how the price was justified with how the material felt cheap to me.,Dresses
0,"I'm 5'6"" and it hits me at mid-thigh. the top (black/camel version) is sheer enough to need a cami. the waist is quite high. not flattering for me--the empire waist makes me look a bit pregnant--plus i don't want to deal with having to wear a cami.",Dresses
0,Beautiful dress; however  the top was small for my chest and the rest ran large.,Dresses
0,So despite reviewers saying this was too short i decided to try it anyways. the dress is adorable the print t g e pockets so cute but the description is incorrect. the petite falls 30 from shoulder which means it's right under your bum so you move anyway and someone gets a show. it's unfortunate because this dress is adorable. it would fit tts except length. unfortunately this one has to go back.,Dresses
0,I tried this on in the store - i tried regular medium which was way too big except in the chest where it was really tight. the material was a little itchy on me (but maybe its because the chest was tight). the color is lovely (pink). im sure someone will love it but if you are petite  i would order the petite and maybe size up if you are busty.,Dresses
0,The details on this dress were pretty  but it was super poofy and i felt like it made me look bigger than i am. maybe if you have a straight body and want to create curves this would work for that  but not great on an hourglass/pear shaped figure. fits tts.,Dresses
0,I tried this dress on in the store. it fit okay  but the orange is so bright  i couldn't bring myself to buy it.,Dresses
0,This dress is everything i hoped it would be--bright  colorful  quality jacquard  classic silhouette. unfortunately it runs small up top on the bust and i couldn't even zip it up all the way. returning :(,Dresses
0,The fit is really flattering and cute but the fabric and finishings seem really cheap. it's a printed plaid - not woven.,Dresses
0,I ordered this dress in two sizes  pxs and ps. they both arrived in a timely manner but the pxs was snagged upon arrival. there were a few other reviewers that stated the dress snagged easily but i loved the classic look of this dress so i thought i would take the chance. unfortunately i had to take both back to the store because the potential for snagging the fabric was too high even considering the sale price. also  the dress comes with a cotton slip but the slip for the pxs was tiny while the,Dresses
1,"I got so many compliments from friends  i bought another one in different print. packs and travels well. i'm 5'6"" and a heathy 160 lbs  carry my weight in the middle. this dress is very flattering and fabric feels like pj's. also east to wear with regular undies and racer back bra. living in a warm humid climate  it's my new go to dress. the fabric is so stretchy that i found the medium a better fit instead of my usual large.",Dresses
1,"I do love this dress. i wore it for my 20th anniversary party and received numerous compliments. it's great for embracing your curves. it has a wonderful ""vintage-made-modern"" flair that classic retailer pieces always have. you do have to be careful when wearing it...jewelry or belts may snag the intricate lacework. i am definitely the type of shopper who waits for a sale. this is one of the few pieces i felt i could splurge on. it is just that unique. i hope that retailer continues to carry these t",Dresses
1,"Absolutely lovely! even better in real life. this is not your typical cheap  flimsy dress. this is quality! the fabric is interesting  the color is gorgeous and the styling is flattering. pay attention to the length ? there are miles of fabric in that fortuny-esque skirt and the model is very tall. i am 5'5"" and slim  and ordered petite small  and it's a little longer on me than it is on the model. i don't mind. i've been looking for a special-occasion dress for a long time and knew this was it",Dresses
1,I tried this dress on today and ended up buying it. its a thicker material and looks better in person. more red and white striped with an uneven hem. the back of the dress is a bit more like a swim suit. i probably is best for smaller chests. i'm guessing it runs a little bit big - as the medium fit nicely on me and lately i'm a large medium/small large.,Dresses
1,Beautiful and different material  like it a lot. very happy with the purchase.,Dresses
1,This dress does run large  but i'm wearing it loose and flowy. bought it for desert trip music festival  with booties and a hat or headband  very hippie chic. my husband thinks it's adorable! the prints are darling.,Dresses
1,Super comfortable and cute!! i have received tons of compliments one this dress. the material is soft and the print/colors are awesome. this dress will get a lot of use over fall  winter and spring. runs a little big. i am typically a s but chose the xs . love love love!,Dresses
1,"What a fun print to have on a dress  let alone a sweet off white lace confection like this one. i really love the design and all the nice high quality touches. because i am busty and there is no stretch  i sized up. my only wish was that the look of the skirt wasn't so innocent..the flounce looks a bit juvenile  especially at my age. i'll try to figure out how to flatten it   maybe wet the skirts like a regency lady ;) here are my stats since i purchased 12p: 5'3"" 145# 36dd.",Dresses
1,Yay  i found it: my go-to dress for this summer! it's perfect for casual day-to-day stuff  as well as summer festivals  nights out  travel  etc. i love the design  length and fit. it's a bit snug in the chest area but i went with the smaller size as the shoulder straps sagged a bit in the larger size. the lace-up front gives it a sexy corset-type bodice  but in a very casual  appropriate way. i think this dress will work well with many body types and ages  it's flattering for us curvier ladies ,Dresses
-1,I ordered this in size xl in ivory. it was a drab  poorly-made  too-small sweater. the knit material wasn't good quality and the overall fit didn't work. i liked the light red color and maybe if that had been in stock  then i would have overlooked the problems. but  there are better ivory retailer cardigans available. this was returned.,Fine gauge
-1,Based on the strength of the other reviews  i thought this sweater would be amazing  but i was disappointed. the knit is very thin  cheap looking and weak that it won't last a season undamaged. it reminds me of a duster i bought 15 years ago at a discount fast-fashion retailer when i was a student. sloppy looking with lots of creases out of the package. collar is odd and the sleeve openings have an annoying flare. the drape is not structured enough--everything about this screams over priced bath,Fine gauge
-1,"This sweater is a cute design but did not work for me. i am 5'9"" and this is way to short/cropped and looks awkward. the quality was so so  it looked stretched out in the front. it's getting returned.",Fine gauge
-1,This is not even a dolman style sweater because it's loose fitting everywhere around the arm. the point of a dolman sweater is that the sleeves are fitted around the wrist/forearm  but this is not the case with this sweater. it's super loose around the wrist area - i can fit both of my wrists into a sleeve.,Fine gauge
-1,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,Fine gauge
-1,This sweater did not flatter a sz 12 with 36d chest. it's very well made but not for the curvy girl. this is my very first review and felt compelled to share my thoughts since i heavily rely on others' reviews before i purchase.,Fine gauge
-1,The fit was not flattering at all  but the worst part was the colors were really dull and not bright as shown in the online photos.,Fine gauge
-1,I ordered the orange in size xl. the fit on me matches the model other than being a little shorter in length.  the quality is bad. i ordered two of these sweaters and both arrived  new in the packages  with one having a small hole. the knit is so thin  as is the base material. the arms are basically see-through. it doesn't offer any warmth because of the thinness. i layered a long-sleeved white tee underneath which helped. the edge of the sleeves stretched out within an hour. i also had two area,Fine gauge
-1,The fit of this sweater did not flatter my body-type. the top half did not fit well; the armpit area was loose fitting and the neckline was awkward.,Fine gauge
0,This has a sparkle that you can't see in the pictures. i returned it. the design is cute but not worth the price.,Fine gauge
0,I ordered this in the pink color. the fit was fine  but i didn't care for how thin it was. there is lining  which i suppose is there to combat the thinness  but it's only in certain places. the lining should have been all over. maybe if i had gotten this in blue  it wouldn't have been so bad.,Fine gauge
0,Loved the look of this top. sadly it runs quite small and was very tight where other non-swing tops in a large do not. the item ran out of stock far too quickly. i normally wear a large but feared that the large would be small and wanted to order up but it was already put of stock. the quality and style are great especially for a larger chest. length is great for taller women.,Fine gauge
0,Looks great on the model  but if you're curvy it looks very frumpy.,Fine gauge
0,This sweater is much more cropped than shown. the sweater i received was only 24 inches long. the color of the trim is black  not the navy or plum that i expected. quality does seem good.,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,Very pretty and has potential. only down side - i thought it was more like a cardigan with sleeves but it's really more of a shawl and the photos and descriptions are misleading,Fine gauge
0,This is a darling little sweater. it is well made and the fit is true to size  however  it's just not long enough on me to be a top  which is what i was hoping for.  i thought it would be pretty with some high waisted trousers in a sort of 40's style but it's way to short on me for that. even with my highest waisted pants and skirts  it shows skin.  i think it can really only be worn as a shrug over a dress or something.  that explains why the model looks hunched over in some photos.  i'm still,Fine gauge
0,I loved this at first....but the quality is awful! it pilled like crazy and started to get little holes near the neck after 4-5 wears. second sweater from retailer this year with severe pilling issues. i love retailer  but will never again buy another sweater here.,Fine gauge
1,This sweater is so much cuter in person than as pictured. i bought the lovely red one today. i got my usual size  xs. i plan to wear it more fitted as a top rather than as a jacket  although i can still layer it if i want. the color is divine. the weight is just right  not too heavy but not too light. sometimes peplums overwhelm me  but this one did not. it hits at just the right spots and is flattering all over  particularly making my waist look small.,Fine gauge
1,This sweater is super cute. it has nice weight to it and is just a nice casual but attractive piece to wear with jeans or white pants. love that it zips and just a really cute pattern of marigold  mint/teal and grey/dark gray.,Fine gauge
1,This is a lovely sweater--unique  nicely made  though i found that it ran large for me. i was between a size xs and small  and neither one seemed just right so i ended up returning it. the small had the right length in the arms and torso  but was too wide in the torso and shoulders  and the xs was too short. bummer! also found that every single ivory one had stains or spots on them in my local store  not sure why. if i had been able to settle on the right size i probably would've kept it!,Fine gauge
1,I bought the gray and it is so much prettier than it appears online. i agree with a previous post that it feels lighter but that works for me because i find wool terribly itchy and this sweater is not. i love it!,Fine gauge
1,This sweater is flattering  fun  and practical. i wear to work and out at night to dressier functions. i bought both the green and black. both are cute on and super soft.,Fine gauge
1,I could not tell from the picture but it is see through. it will be fine with a tank top i just was not expecting to need one.,Fine gauge
1,I just purchased this adorable  unique looking sweater at my local retailer store and absolutely love it. as soon as i saw it  i knew i had to have it! it is super soft  tts so i purchased it in my regular size small and it has the cutest pockets ever. the little black buttons also add to the look but the black snails on the pockets are what's really so sweet on this one. though i'm not a fan of snails in my garden  i'll make an exception for a couple of them making a guest appearance on this swea,Fine gauge
1,I have already worn this several times. it is very flattering  lightweight  and easy to wear. dressy but also very soft and comfortable.,Fine gauge
1,This sweater is beautiful and looks exactly as pictured in terms of fit  length  and color. the fabric is super soft and not at all itchy - feels soft like a boucle type knit. the sleeves are 3/4 length and the weight is maybe a medium-weight (not super warm). i wouldn't see this taking me too far into a northeastern winter  but for right now it's perfect!! fit is tts :),Fine gauge
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,3 tags sewn in  2 small (about 1'' long) and 1 huge (about 2'' x 3''). very itchy so i cut them out. then the thread left behind was plasticy and even more itchy! how can you make an intimates item with such itchy tags? not comfortable at all! also - i love bralettes and wear them all the time including to work. i am a b cup. however  this one is so thin and flimsy that it gives no support even to a b cup - so for me this would only be a lounging bralette - if it wasn't so itchy!,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,As a petite  big busted woman  i found this dress wildly unflattering. the quality and pattern of the dress itself is beautiful  though it will require a slip as it is completely transparent. the design of the bust however  i found unflattering.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
